0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/resources/images/lexus.png HTTP/1.1" 200 14827
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/resources/images/audi_blue_beautiful_cars_79694_1920x1080.jpg HTTP/1.1" 200 655083
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/resources/css/DataTables-1.10.16/images/sort_both.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/resources/css/DataTables-1.10.16/images/sort_asc.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/product?id=3001 HTTP/1.1" 200 9005
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:37 +0530] "GET /Ecommerce_frontend/user/resources/css/datatables.css HTTP/1.1" 404 1098
